Title,ReleaseDate,Popularity,Budget,Revenue
Parachute,'NaT',0,0,0
Futuro Junho,'28/10/2015',0.045523,0,0
WWE: The Best of Raw & Smackdown 2011,'16/04/2012',0.102746,0,0
Spirits Of The Fall,'25/10/2008',0.008303,0,0
Lanterna,'16/11/2016',0.111103,0,0
?–?¸Ñ‚Ñ‚Ñè Ñ– ?¡???µÑ€Ñ‚ÑŒ Ñƒ ?“ÑƒÑ†Ñƒ?»Ñ–Ñ—,'04/11/2016',0.178259,0,0
Prinsessa,'09/09/2010',0.036872,0,0
Serafino,'16/12/1968',0.024803,0,0
Idiots Deluxe,'20/07/1945',0.004325,0,0
An Artist's Dream,'21/05/1900',0.014264,0,0
Wrathchild: Live in London,'NaT',0,0,0
Kopernik,'14/02/1973',0,0,0
Sex & Justice,'01/01/1993',0,0,0
Bikini Royale 2,'18/01/2010',0.01747,0,0
Una ragazza piuttosto complicata,'07/02/1969',0.024813,0,0
Check Point,'07/03/2017',0.957123,0,0
Home on the Range,'02/04/2004',2.487885,110000000,103951461
Sarfarosh,'02/01/1930',0.009516,0,0
Mulligans,'01/01/2008',0.063849,0,0
Anecdote,'24/01/2008',0.005648,0,0
Dawn,'NaT',0.0024,0,0
Sealskins,'07/02/1932',0.002343,0,0
Kan,'02/01/1985',7.00E-06,0,0
Phool,'19/02/1944',0.001929,0,0
Transylvania 6-5000,'30/11/1963',0.004863,0,0
The Congressman,'09/04/2016',0.163976,0,0
Ich hab es nicht gewollt - Anatomie eines Mordfalls,'25/11/2002',0.004148,0,0
The Pig Child,'24/09/2014',0.068909,0,0
? ?µ?????´?¶?µÑ€ ?°Ñ‚?????????? ?·????Ñ‹,'23/07/1999',0.001875,0,0
Am Yisrael Hai,'NaT',0,0,0
Geheimakten Solvay,'23/01/1953',0.001943,0,0
Dizzy Pilots,'24/09/1943',0.006644,0,0
Home of the Brave,'12/05/1949',0.012258,0,0
Expecting Amish,'19/07/2014',0.489073,0,0
Doc & Darryl,'14/07/2016',0.077187,0,0
The People Under the Stairs,'01/11/1991',1.605891,6000000,0
Shapes,'12/07/2008',0.00753,0,0
Kin chan no Cinema Jack,'22/05/1993',6.70E-05,0,0
Vroeger Is Dood,'29/01/1987',1.00E-05,0,0
Fighting for Gemma,'10/11/1993',0.001924,0,0
Street Fighter: The New Challengers,'06/09/2011',0.063048,0,0
Cultures of Resistance,'18/05/2010',0.009375,0,0
Checking Out,'15/09/2006',0.044366,500000,0
WWE: Ric Flair & The Four Horsemen,'10/04/2007',0.020844,0,0
So Much So Fast,'09/10/2006',0.005625,0,0
The Sport Parade,'11/11/1932',0.036693,0,0
Ice Girls,'11/03/2016',0.356458,0,0
Big Time Or Bust,'10/11/1933',0.042645,0,0
(Ã€ Suivre...),'NaT',0.0012,2000,0
Out in the Woods,'29/03/2016',0.060001,0,0
Yanco,'01/11/1961',0.001884,0,0
Cast Away,'22/12/2000',10.450953,90000000,429632142
Schulz & Schulz III: Wechselspiele,'13/04/1992',8.00E-06,0,0
Preaching to the Perverted,'04/07/1997',0.446679,0,0
The Castle Project,'01/10/2013',0.020944,0,0
A Bride Comes to Yellow Sky,'03/04/2013',0.016875,0,0
Plop wordt Kabouterkoning,'28/03/2012',0.030119,0,0
Witchboard III: The Possession,'01/01/1995',0.002213,0,0
Big Trouble,'30/05/1986',0.008443,0,0
Once to Every Woman,'24/03/1934',0.002366,0,0
Unfailing,'10/11/2008',0.016431,0,0
Al Capone: Icon,'22/07/2014',0.032242,0,0
Kick the World,'31/03/1974',1.20E-05,0,0
Os Cravos e a Rocha,'12/12/2015',0.066043,0,0
Used People,'16/12/1992',0.540221,0,0
ÎŸ ÏƒÎºÎ»Î·ÏÅÏŒÏ‚ Î¬Î?Ï„ÏÅÎ±Ï‚,'30/10/1961',0.001877,0,0
Dealer,'07/06/2016',0.283154,0,0
Deu Pra Ti Anos 70,'01/01/1981',0.1125,0,0
A Tale of Two Cities,'20/02/1911',0.232964,0,0
Violence,'09/05/1947',0.001907,0,0
Naughty But Nice,'25/06/1927',0.009333,0,0
Fired Up!,'20/02/2009',2.773003,20000000,18599102
The Good Catholic,'08/09/2017',8.825448,0,0
Love in the Time of Monsters,'08/03/2014',0.276459,0,0
Un domingo,'09/09/1960',0.003093,0,0
Make Me a Star,'01/07/1932',0.522922,0,0
Chal Chalein,'07/08/2009',0.060141,0,0
Poil de carotte,'09/06/2003',0.576323,0,0
Little Boy Blue,'01/06/1997',0.420524,0,0
Glowsticks,'NaT',0,4000,0
The Prince of Porn,'01/01/2002',0.004107,0,0
A Child's Play Story: Chucky's Revenge,'06/11/2006',0.023766,0,0
Titanic: Anatomy of a Disaster,'NaT',0.30398,0,0
Assjack: Gates of Hell,'01/01/2006',0.055556,0,0
Afyon oppio,'21/12/1972',0.092595,0,0
Terror en el tren de medianoche,'01/01/1980',2.00E-06,0,0
Adventure Story,'12/06/1961',0.002507,0,0
Telezonia,'01/11/1974',0.010424,0,0
Video Rewind: The Rolling Stones' Great Video Hits,'15/06/1984',0.000144,0,0
The Maldonado Miracle,'20/01/2003',0.216863,0,0
Prestami tua moglie,'03/10/1980',0.000822,0,0
XibalbÃ¡,'02/01/2015',0.076451,3000000,0
The Navy Lark,'01/01/1959',0.286596,0,0
Kukla s millionami,'29/04/1928',0.004301,0,0
Bravissimo,'01/01/1955',0.001995,0,0
Pierscionek z orlem w koronie,'01/04/1992',0.008202,0,0
Freier Mensch,'17/10/2016',0.100152,0,0
The Everlasting Secret Family,'10/03/1988',0.011874,0,0
20min Walk From Nishi-Ogikubo Statio,'NaT',2,0,0
Siluman Kera,'01/01/1988',4.00E-06,0,0
Bits & Pieces,'24/10/1996',0.002063,0,0
Andy Panda Goes Fishing,'09/05/1940',0.008019,0,0
Soundgarden: [2014] Lollapalooza Brazil,'06/04/2014',0.024864,0,0
The Divorce of Lady X,'15/01/1938',0.110069,0,0
Dark Passenger,'01/01/2013',0.017463,0,0
Rock 'N Learn: Alphabet,'01/01/1998',0.001895,0,0
In Prison My Whole Life,'18/01/2008',0.06938,90,0
Witty Kitty,'05/01/1959',0.009716,0,0
Die Diplomatin - EntfÃ?hrung in Manila,'07/05/2016',0.181943,0,0
Stereopony Final Live - BEST of STEREOPONY,'27/02/2013',0.016953,0,0
Giuditta (Freunde das Leben ist lebenswert),'29/10/1970',3.20E-05,0,0
Animusic,'01/01/2001',0.291708,0,0
Herriak Bizirik (Pueblos Vivos) - Pantano Itoitz,'01/01/2003',0.004125,0,0
Fru Marianne,'26/03/2001',0.00225,0,0
Bukowski at Bellevue,'13/06/1995',0.002343,0,0
Gorila baila,'25/09/2013',0.030353,0,0
Day One,'05/03/1989',0.061869,0,0
De Greep,'03/08/1909',0.002813,0,0
Change Your Food Change Your Life,'01/03/2005',0.00375,0,0
Il leone di San Marco,'21/11/1963',0.001877,0,0
Suburb,'24/10/1972',3.50E-05,0,0
Vivaldi: Four Seasons in Nature's Harmony,'05/12/2005',0.038016,0,0
?ê?™? ?¨???™?”,'01/10/2015',0.181791,0,0
Revenge of The Boarding School Dropouts,'01/01/2009',0.296055,0,0
Le Roman de la midinette,'01/05/1915',0.003257,0,0
Hooker,'02/01/1983',0.000122,0,0
Mr. & Mrs. Gambler,'23/02/2012',0.109178,0,0
Strike of the Panther,'04/01/1989',0.141359,0,0
Back to God's Country,'01/11/1953',0.00698,0,0
Life,'14/12/2009',0.977567,0,0
17 Sal Va Yek Rooz,'01/01/2013',0.017213,0,0
Generation X,'20/12/1996',0.150371,0,0
Sofia,'05/11/2008',0.015923,0,0
Haschisch,'01/01/1968',0.014795,0,0
Stormy Weathers,'04/05/1992',0.02582,0,0
Landscape Suicide,'01/08/1987',0.000463,0,0
How I Killed Mumblecore,'01/01/2010',0.009382,0,0
Vivah,'10/11/2006',0.712106,10,4000000
Sally och friheten,'27/02/1981',0.030753,0,0
One Percent More Humid,'21/04/2017',0.318047,0,0
Algren,'14/10/2014',0.028146,0,0
3 Srikandi,'04/08/2016',0.099174,0,0
Brise-Glace: Oberture,'15/12/1987',3.00E-06,0,0
The Arrangement,'01/01/1969',0.153499,0,0
John Doe: Vigilante,'21/03/2014',0.368504,0,0
ãƒ‰ãƒ©ã‚?ãƒ–ã‚?ãƒ?è’?ç”Ÿ,'02/08/2014',0.038126,0,0
Danger Zone: The Making of 'Top Gun','14/12/2004',0.003765,0,0
Herzdamen,'27/12/2006',0.010554,0,0
The Miracle Man,'01/04/1932',0.020775,0,0
Carolina,'02/02/1934',0.39855,0,0
Serenade,'26/11/1937',0.006912,0,0
Two Guns and a Badge,'11/09/1954',0.066946,0,0
VeggieTales: Merry Larry And The True Light Of Christmas,'22/10/2013',0.036642,0,0
ECW Hostile City Showdown '94,'24/06/1994',0.001876,0,0
Absolute Power,'14/02/1997',1.965513,50000000,50068310
Sun Kissed,'26/04/2006',0.04293,0,0
Escapade,'05/08/1955',0.267366,0,0
Utta Danella - Von Kerlen und KÃ?hen,'11/04/2014',0.036563,0,0
The Wedding & Bebek Betutu,'08/10/2015',0.084297,0,0
Rakkaus on aarre,'28/02/2002',0.018945,70000,0
Fist of Legends 2: Iron Bodyguards,'01/01/1996',0.002073,0,0
Saatchi,'16/09/1983',0,0,0
Jaana Pehchana,'NaT',1.00E-06,0,0
Zookeeper,'06/07/2011',2.227265,80000000,169852759
Country Dance,'07/01/1970',0.000323,0,0
Disobedience,'04/05/2018',0.882346,0,0
The Art of Murder,'01/10/1999',0.284381,0,0
Watchers 4: On the Edge,'27/08/2012',0.022336,0,0
I... Dreaming,'01/01/1988',1.00E-06,0,0
Monochromia,'01/01/2014',0.022589,0,0
Dance of My Life,'01/09/2011',0.01125,0,0
Texas Gold,'01/01/2008',0.010414,0,0
Odor-Able Kitty,'06/01/1945',0.0097,0,0
Lying in Wait,'15/03/2001',0.005237,0,0
On Tiptoe: Gentle Steps to Freedom,'01/01/2000',0.008765,0,0
Shankaranum Mohananum,'10/06/2011',0.272673,0,0
Rosie,'18/11/1998',0.002367,0,0
Midnight Temptations,'01/01/1995',0.002889,0,0
Human Weapon,'25/06/2003',0.005625,0,0
Gringuito,'01/01/1998',0.002814,0,0
Journey into Light,'28/09/1951',0.040597,0,0
The Man Who Shot Chinatown: The Life and Work of John A. Alonzo,'01/01/2007',0.012066,0,0
Sensoria,'27/09/2015',0.370643,0,0
Worm,'06/09/2014',0.026328,0,0
WEC 15: Judgment Day,'19/05/2005',0.003936,0,0
Pig,'17/04/2010',0.009412,0,0
13 Factors That Saved Apollo 13,'13/04/2014',0.055898,0,0
Ganga Bruta,'28/05/1933',0.003399,0,0
The Speedway Parade,'01/05/1902',0.001875,0,0
Embrace the Darkness III,'17/09/2002',0.039711,0,0
La princesa del PolÃ?gono,'10/11/2007',0.017486,0,0
A and B in Ontario,'01/01/1984',0.002099,0,0
Tiffin,'01/10/2007',0.005625,0,0
Renee XIV,'01/01/1946',0.002819,0,0
The Emerald City of Oz,'01/01/1987',0.448479,0,0
?ŸÑƒÑˆ?º?¸??: ?Ÿ??ÑÅ?»?µ?´??ÑèÑè ?´ÑƒÑç?»ÑŒ,'01/12/2006',0.165704,0,0
Gone But Not Forgotten,'01/01/2005',0.096179,0,0
High Spirits,'18/11/1988',0.724193,0,7399763
ê°•ì•„ì§€ ë˜¥,'25/06/2003',0.003794,0,0
Thank You and Good Night,'29/01/1992',0,0,0
Pee-wee's Big Holiday,'18/03/2016',0.85329,0,0
Sha jian O niang,'02/06/1995',0.006592,0,0
Elstree Calling,'01/02/1930',0.137663,0,0
à®‡à®µà®©à¯ç à®¯à®?à®°à¯†à®©à¯çà®±à¯Å à®?à¯†à®°à®¿à®•à®¿à®±à®?à®?,'30/06/2017',0.827809,0,0
Vital Signs,'13/04/1990',0.038232,0,0
Dort wo der Rhein...,'09/08/1927',0.004314,0,0
Trumpet Kings,'30/03/1999',0.002813,0,0
De sangre chicana,'05/09/1974',0.003742,0,0
Mister Rogers & Me,'20/03/2010',0.023732,0,0
Trapped!,'01/01/1994',0.006956,0,0
Cabra-Cega,'25/11/2004',0.004147,0,0
Sieranevada,'03/08/2016',0.573699,1488410,0
Ruth Etting in Favorite Melodies,'15/03/1929',0.015957,0,0
Thomas & Friends: It's Great To Be An Engine,'02/07/2008',0.194466,0,0
The Wife,'16/08/1996',0.00209,0,0
Darna,'31/05/1951',0.002078,0,0
The Sign on the Door,'01/05/1921',0.005761,0,0
Happy B-Day,'01/07/2013',0.019259,0,0
Mouse Meets Bird,'15/11/1952',0.002828,0,0
In the Company of Women,'26/02/2015',0.056076,0,0
Return to Oldfield: Making from a Whisper to a Scream,'NaT',3.20E-05,0,0
Les Anarchistes,'11/11/2015',0.331172,0,0
La vita delle farfalle,'01/11/1911',0.004403,0,0
Lilla syster Kanin,'01/01/1988',8.00E-06,0,0
Olive,'20/03/2014',NaN,0,0
Ask,'NaT',0,0,0
AFI Lifetime Achievement Award: A Tribute to Fred Astaire,'04/12/1999',0.00259,0,0
G,'01/01/2008',NaN,0,0
Ang Tanging Pamilya (A Marry-Go-Round!),'11/11/2009',0.179829,0,0
Primary Motive,'02/08/1992',0.007955,0,0
Notes for a Film About Donna & Gail,'01/01/1966',0.001888,0,0
The Last Outlaw,'01/07/1927',0.00195,0,0
L'isola di Arturo,'21/12/1962',0.123606,0,0
Society for Sale,'21/04/1918',0.001969,0,0
Joan Does Dynasty,'01/01/1986',0.35,0,0
The Love Affair,'12/08/2015',0.065281,0,0
The Dressmaker,'16/12/1988',0.449099,0,0
Und wenn sie nicht gestorben sind... Die Kinder von Golzow - Das Ende der unendlichen Geschichte,'10/07/2006',0.012297,0,0
The Men Who Killed Kennedy,'25/10/1988',0,0,0
Corazon Live In Mexico: Live It To Believe It,'NaT',1.60E-05,0,0
Mutant Massacre,'15/06/1991',0,0,0
Blues,'01/01/2009',0.068234,0,0
Jon Lovitz Presents,'23/04/2011',0.021806,0,0
Oru Thayin Sabhatham,'14/04/1987',0.000924,0,0
Taste,'NaT',2.00E-06,0,0
James McNeill Whistler and the Case for Beauty,'01/09/2014',0.039554,0,0
Affliction,'30/09/2015',0.054855,0,0
Call Her Sausage,'12/05/1933',0.001885,0,0
Pigs,'NaT',0,0,0
Birdman of Alcatraz,'03/07/1962',1.272293,2650000,3100000
Real Deal: The Movie,'01/10/2009',0.009375,0,0
Touched,'04/10/2014',0.204195,0,0
Sit Tight,'28/02/1931',0.184752,0,0
Wake Up!,'25/04/2013',0.001535,200,0
Malee and the Boy,'01/01/1999',0.004422,0,0
All You've Got,'01/01/2006',0.181706,0,0
The Devil's Needle,'12/08/1916',0.01049,0,0
Film Geek,'25/01/2005',0.072006,0,0
Bluefin on the Line,'01/01/2013',0.016875,0,0
Invisible Children,'01/01/2006',0.008475,0,0
Glanz & Gloria,'30/05/2012',0.025811,0,0
é›€èÅ–2è‡ªæ‘¸å?©åê?,'01/11/2005',0.333873,0,0
La lune Ã  un mÃ¨tre,'NaT',0.00441,0,0
UFC: The Ultimate 100 Knockouts,'26/12/2012',0.289683,0,0
Otto er et nÃ?sehorn,'01/01/1983',0.40584,0,0
Alias Nick Beal,'04/03/1949',0.024372,0,0
The Scream,'24/02/2012',0.013125,0,0
Big Time,'21/10/2017',1.229298,0,0
?›Ñ??±????ÑŒ-????Ñ€?º????ÑŒ 2,'23/12/2008',0.279936,3000000,17850711
The Usual Suspects,'19/07/1995',11.475297,6000000,23341568
Boyfriends,'13/11/1996',0.161334,0,0
Wicked Desire,'09/04/2008',0.008294,0,0
Segurista,'01/01/1996',0.420465,0,0
O Luto,'25/09/2016',0.144279,0,0
Dead Women in Lingerie,'01/01/1991',0.342077,0,0
Two of a Kind,'01/01/1983',0.466425,0,23646952
The Corruptor,'12/03/1999',3.084993,25000000,15156200
Selam: Bahara Yolculuk,'13/03/2015',0.201392,500000,500001
Die Flucht nach Ã„gypten,'01/01/2005',0.00375,0,0
Fields of Glory: Georgia,'NaT',0.002,0,0
Margot at the Wedding,'31/08/2007',1.325373,10000000,0
Ak,'11/09/2014',NaN,0,0
Ettekal Second,'28/02/2014',0.025007,0,0
Ladies First,'02/08/1962',0.002762,0,0
Apartment Hunting,'01/01/2000',0.002864,0,0
Hong qiang dao ying,'01/01/2000',0.002548,0,0
Honky Tonk,'01/10/1941',0.020987,0,0
Owly to Bed,'01/01/1959',0.003179,0,0
The Informers,'12/11/1963',0.220242,0,0
Godkiller: Walk Among Us,'25/05/2010',0.165353,0,0
Prodigal,'01/09/2011',0.070078,60000,0
Dandanko,'01/01/1960',0.003422,0,0
Great World of Sound,'01/01/2007',0.006527,0,0
?Ÿ???»ÑèÑ€??Ñ‹?? Ñ€?µ??ÑÅ,'12/12/2013',0.078015,0,0
Candy.,'30/10/2010',0.00962,0,0
Unschooled: Save Our Future,'01/01/2009',0.0075,0,0
Suspenso en comunismo,'23/01/1956',0.002901,0,0
Zaza,'29/12/1938',0.424236,0,0
Il suo nome Ã¨ Donna Rosa,'05/08/1969',0.03167,0,0
Peter Cetera with Special Guest Amy Grant: Live in Concert,'01/01/2003',0.009336,0,0
Doll Boy,'01/10/2010',0.020786,0,0
å?‡å ´ç‰ˆã€Œç©ºãÅ®å¢ƒç•Œã€çç¬¬å››ç«  ä??è—çãÅ®æ´?,'24/05/2008',0.123492,0,0
Side A: The Greatest Hits Live,'01/01/2003',0.003825,0,0
Icetime,'NaT',0.000749,0,0
Backlash,'01/03/1947',0.003473,0,0
Arthur Christmas,'22/02/2011',1.719411,0,0
Lo contrario al amor,'26/08/2011',0.020799,0,0
Glass Love,'01/03/2006',0.005625,0,0
Dealers in Death,'10/11/1984',6.00E-06,0,0
Sur Elise,'02/01/2016',0.050898,0,0
Î Î?Î?Ï„Îµ Î›ÎµÏ€Ï„Î¬ Î‘ÎºÏŒÎ?Î±,'19/10/2006',0.021339,0,0
Tadap: The Desire,'30/07/2004',0.00375,0,0
100 Ghost Street: The Return of Richard Speck,'24/07/2012',0.315284,150,0
The Passage,'NaT',0.188879,0,0
Proper Binge,'04/12/2015',0.04875,0,0
Slow Glass,'02/01/1991',1.00E-06,0,0
The B,'01/02/2010',0.009375,0,0
Ringo at the Ryman,'22/03/2013',0.229545,0,0
You Gotta Be Crazy!,'19/09/1986',0.0004,0,0
Antigang,'19/08/2015',0.851016,0,0
Hot Summer Nights,'13/03/2017',0.621135,0,0
Bodyguard,'22/01/2010',0.049037,0,0
Dian xin huang hou,'02/01/1965',0.002063,0,0
Live Cargo,'15/04/2016',0.371013,0,0
ãÅ¿ã‚“ãÅªãÅ‚ãÅ’ãÅ¡ã‚ƒãÅ†,'20/04/1985',0.011862,0,0
Dexys: Nowhere is Home,'09/05/2014',0.024375,0,0
I Can't Escape,'04/07/1934',0.002979,0,0
Make Believe,'13/05/2011',0.014062,0,0
Barefoot in the Park,'25/05/1967',1.051506,0,0
The Aerial Submarine,'01/11/1910',0.004302,0,0
Linda/Les and Annie,'25/03/1989',8.00E-06,0,0
Suntok sa Buwan,'25/01/2012',0.109155,0,0
Prema Kanuka,'27/06/1981',0,0,0
Dark Hearts,'20/11/2014',0.032998,0,0
Mokhtar,'02/01/1968',0.001875,0,0
The Goal Rush,'26/09/1946',0.015357,0,0
Our Miss Fred,'01/01/1972',0.00575,0,0
Wish For Christmas,'01/11/2016',0.10517,0,0
Venedig - Unsterbliche Serenissima,'29/03/2011',0.011258,0,0
The Treehouse,'NaT',0.000102,0,0
The Adventures of the Spirit,'01/01/1963',0.001923,0,0
Parrotville Old Folks,'24/01/1935',0.003638,0,0
Double Happiness,'01/04/2014',0.022533,0,0
Bruce Lee - The Intercepting Fist,'01/01/1998',0.004235,0,0
Lord Stanley's Cup: Hockey's Ultimate Prize,'25/11/2003',0.013995,0,0
Chor Ho To Aisa,'11/12/1978',0,0,0
Arupusu no shÃ´jo Haiji,'01/02/1974',0.00027,0,0
The Master Beater,'31/07/1969',0.004266,0,0
Last Resort,'17/12/1996',0.002711,0,0
Alumbrones,'12/09/2014',0.028168,0,0
Emilio Varela vs Camelia la Texana,'27/11/1980',0.00162,0,0
No Holds Barred,'23/11/1952',0.039203,0,0
O Milagre de Santo Antonio,'08/07/2012',0.036725,0,0
Limbo,'12/04/2015',0.218241,0,0
Mahogany,'01/01/2005',0.004237,0,0
à´?à´?à´¯à´£à´®à´¨àµçà´?àµçà´°à´‚,'01/01/1990',0.031926,0,0
Chojin densetsu Urotsukidoji V: Kanketsu Hen,'28/12/1996',0.149673,0,0
Visions...,'10/10/1972',0.003708,0,0
Tower of Fire,'01/01/1976',0.05,0,0
The Influence of Ocular Light Perception on Metabolism in Man and in Animal,'01/01/2005',0.003753,0,0
Anubhav,'19/12/1986',0.000351,0,0
å?©å›?ãÅ¯ãÅ?ãÅ éÅ ãÅè,'08/11/2008',0.01786,0,0
Conclusions,'21/10/2014',0.028125,0,0
Deader Country,'01/10/2009',0.009382,300000,0
Kinky Friedman: Proud To Be An Asshole From El Paso,'02/01/2001',0.008045,0,0
Toda una vida,'23/11/2003',0.00375,0,0
Sait-On Jamais...,'31/05/1957',0.026892,0,0
Popeye's Mirthday,'21/05/1953',0.014081,0,0
Preservation Man,'20/05/1962',0.004922,0,0
Einfach sterben,'24/11/1971',3.00E-06,0,0
Wo zhe yi bei zi,'01/01/1950',0.002891,0,0
The Power of Volcanoes,'01/01/2016',0.056,0,0
Desert Rider,'10/06/1923',0.121106,0,0
Window Wonderland,'23/11/2013',0.388719,0,0
?????ºÑƒÑÅÑ‹ ?œ?µ???´?µ?»Ñè,'04/11/2015',0.23088,0,0
All About 'Abigail's Party','01/01/2007',0.005625,0,0
Bloodscent,'01/01/1995',0.002352,0,0
Iron Spyder,'22/09/2016',0.002295,0,0
Eyon,'15/01/2016',0.05782,0,0
The Strong Arm Squad of the Future,'08/05/1912',0.001875,0,0
The Very Best of Monday Nitro: Volume 2,'NaT',0,0,0
Enrapture,'30/03/1990',0.053663,0,0
Miel de naranjas,'18/05/2012',0.041288,0,0
ÙÅÙ?Ù„Ø§ 69,'06/10/2013',0.165267,0,0
De Vlaschaard,'01/07/1983',7.70E-05,900000,0
NE,'13/10/2012',NaN,0,0
Samowolka,'15/12/1993',0.002948,0,0
Alien Encounters from New Tomorrowland,'20/06/1995',0.021878,0,0
Dreams My Master,'NaT',0,40000,0
Countess Dracula's Orgy of Blood,'08/06/2004',0.561153,0,0
Modern,'01/01/2010',0.009843,0,0
Damage,'02/12/1992',1.215206,0,7532911
He Knows You're Alone,'12/09/1980',0.42017,0,0
Summer's Lease,'31/10/1989',0.024165,0,0
A Lady Lion,'24/02/1928',0.002765,0,0
The Big Mouth,'12/07/1967',0.005306,0,0
Ethiri,'05/05/2004',0.352944,0,0
Sherlock Holmes,'07/03/1922',0.420681,0,0
Dog Gone South,'26/08/1950',0.028643,0,0
Malarek,'16/12/1988',0.032121,0,0
We R the World/Mold,'NaT',0,0,0
Tales of the Dead,'17/07/2008',0.037969,0,0
â€?heute abend bei mir,'26/04/1934',0.004958,0,0
Xora,'18/05/2012',0.0153,0,0
All in a Nutshell,'02/09/1949',0.206328,0,0
Lenny Cooke,'06/12/2013',0.033899,0,0
Soft Toilet Seats,'03/12/1999',0.034559,0,0
Las Cenizas,'01/01/2016',0.06207,0,0
My Father the Hero,'04/02/1994',0.67268,0,0
Ordu-ye Kar,'02/01/1974',0,0,0
Interplay,'13/10/2006',0.005962,0,0
La Fille du 14 juillet,'05/06/2013',0.181676,0,0
Artifice,'18/04/2016',0.112434,0,0
Suspicion,'14/11/1941',0.786472,1800000,4500000
Valor's Kids,'11/03/2011',0.01125,0,0
Duct Tape,'01/01/2012',0.013125,0,0
King George VI: The Man Behind the King's Speech,'01/07/2011',0.312165,0,0
Blackwood,'NaT',0,0,0
Future Schlock,'01/01/1984',3.00E-06,0,0
Atomic Tabasco,'05/01/1999',0.005506,0,0
Avtaar,'11/03/1983',0,0,0
Popsong,'01/10/2016',0.096029,0,0
Dancing with Danger,'22/04/1994',0.012035,0,0
Flying Wild,'10/03/1941',0.005087,0,0
Unwritten,'08/06/2016',0.069462,0,0
Tin seung yan gaan,'01/01/1999',0.00189,0,0
Learning to Freely - Transitions,'NaT',3.00E-06,0,0
Bonta 3D,'16/12/2016',0.221358,0,0
Potash and Perlmutter,'10/09/1923',0.006494,0,0
Gryphon,'15/06/1990',0.138671,0,0
ãƒ?ã‚?ãƒ»ãƒêãƒƒã‚¯ãƒ»ãƒ?ãƒ?ã‚¸,'28/05/2011',0.03299,0,0
Terror by Night,'01/02/1946',0.890906,0,0
Some Body,'19/01/2001',0.207858,0,0
Under Wraps,'31/10/2014',0.08108,0,0
Nebula,'08/09/2014',0.027186,0,0
Smash Palace,'30/04/1982',0.001517,0,0
Die Mutter des Killers,'30/01/1997',0.002765,0,0
Naya Andaz,'01/01/1956',0.001875,0,0
A Funeral for Lightning,'10/09/2016',0.15416,0,0
The Coral film,'29/09/2009',0.002775,0,0
Soulja Boy: The Movie,'09/10/2011',0.013125,0,0
Magie der Moore,'24/09/2015',0.043634,0,0
01:00 A.M.,'02/06/1995',0.019633,0,0
Demon Cop,'30/12/1990',5.00E-06,0,0
Sitara,'07/05/1983',1.60E-05,0,0
Miracoloni,'01/01/1981',0,0,0
Stand Up,'02/06/2008',0.022092,5,0
Nagbibinata,'10/06/1998',0.036968,0,0
Calling the Ghosts,'12/09/1996',0.002354,0,0
Phir Tauba Tauba,'04/01/2008',0.008585,0,0
No Name on the Bullet,'01/02/1959',0.864188,0,0
Sweet Evil,'01/06/1993',0,0,0
ç´…é¡èãÅ®å¯†ä?¿,'09/06/1959',0.004236,0,0
The Wonderbeats,'07/06/1991',3.00E-06,0,0
Un Assassin Qui Passe,'08/04/1981',0.463797,0,0
Der Platzanweiser,'18/06/1983',1.00E-06,0,0
Training for the Apocalypse,'30/04/2012',0.013125,0,0
Greyhawk,'28/06/2014',0.36363,0,0
Gestalt,'11/06/2004',0.004125,0,0
Yauwan,'01/01/1973',0,0,0
Studio 666,'14/06/2005',0.032925,0,0
Steelbag Usussi,'NaT',0,0,0
Blackmore's Night: Paris Moon,'02/11/2007',0.005626,0,0
RYB,'19/09/2013',0.025894,0,0
Ammo,'01/01/1989',NaN,0,0
Operation Wedding,'02/08/2016',0.08063,251591,0
Must Be Santa,'NaT',0.002,0,0
Peril for the Guy,'01/01/1956',0.005237,0,0
The Photographer,'05/12/1974',1.70E-05,0,0
Mount Joy,'02/02/2014',0.172479,0,0
Mentiders,'28/11/2012',0.089598,0,0
Buena Vista Social Club: Adios,'26/05/2017',1.235185,0,0
Chandmani Sum,'01/01/2009',0.00753,0,0
The Turn of the Screw,'26/12/1999',0.012666,0,0
Les Mauvais joueurs,'20/04/2005',0.004125,0,0
Trekkers: A Fan's Guide,'01/01/2008',0.005818,0,0
Anupama,'06/01/1966',0.005427,0,0
Veruthe Oru Bharya,'11/08/2008',0.024915,0,0
Noored kotkad,'19/11/1927',0.001881,0,0
Surviving Family,'15/08/2014',0.064188,0,0
Smuggler,'01/01/2014',0.0225,0,0
Yaar,'01/01/2014',0.022502,0,0
Gharwali Baharwali,'01/09/1998',0.283589,0,0
Tahader Katha,'01/01/1992',0.000624,0,0
Union Square,'07/07/2011',0.03488,0,0
Jazz Mad,'08/08/1931',0.002865,0,0
Kid Kaliwete,'25/12/1978',0,0,0
The Drafts,'21/03/2014',0.056934,0,0
Les femmes s'en balancent,'05/05/1954',0.008033,0,0
The Lost Spider Pit Sequence,'22/11/2005',0.008442,0,0
Illicit Behavior,'03/06/1992',0.196343,0,0
Subub Surprises the Burglar,'14/08/1903',0.001876,0,0
Principio y fin,'01/01/1994',0.004838,0,0
Alone,'25/06/2017',0.541402,0,0
Last Cab to Darwin,'06/08/2015',0.146406,0,0
Eine Liebe in KÃ¶nigsberg,'02/04/2006',0.01016,0,0
